,Unnamed: 0,example_id,hex,img_ds,img_id,sent_1,sent_2,sent_1_label,sent_2_label,ds_aspect,sent_ds,sent_1_color,sent_2_color
0,0,0_matrix_blue_white,38919C,Flickr30k,6278649113.jpg,,,True,False,color_blue_white,['flickr30k_random.jsonl'],blue,white
1,1,0_matrix_blue_brown,38919C,Flickr30k,6278649113.jpg,,,True,False,color_blue_brown,['flickr30k_random.jsonl'],blue,brown
2,2,0_matrix_blue_black,38919C,Flickr30k,6278649113.jpg,,,True,False,color_blue_black,['flickr30k_random.jsonl'],blue,black
3,3,0_matrix_blue_green,38919C,Flickr30k,6278649113.jpg,,,True,False,color_blue_green,['flickr30k_random.jsonl'],blue,green
4,4,0_matrix_blue_gray,38919C,Flickr30k,6278649113.jpg,,,True,False,color_blue_gray,['flickr30k_random.jsonl'],blue,gray
5,5,0_matrix_blue_grey,38919C,Flickr30k,6278649113.jpg,,,True,False,color_blue_grey,['flickr30k_random.jsonl'],blue,grey
6,6,0_matrix_blue_red,38919C,Flickr30k,6278649113.jpg,,,True,False,color_blue_red,['flickr30k_random.jsonl'],blue,red
7,7,0_matrix_blue_yellow,38919C,Flickr30k,6278649113.jpg,,,True,False,color_blue_yellow,['flickr30k_random.jsonl'],blue,yellow
8,8,0_matrix_blue_orange,38919C,Flickr30k,6278649113.jpg,,,True,False,color_blue_orange,['flickr30k_random.jsonl'],blue,orange
9,9,0_matrix_blue_pink,38919C,Flickr30k,6278649113.jpg,,,True,False,color_blue_pink,['flickr30k_random.jsonl'],blue,pink
10,10,0_matrix_blue_purple,38919C,Flickr30k,6278649113.jpg,,,True,False,color_blue_purple,['flickr30k_random.jsonl'],blue,purple
11,11,1_matrix_white_brown,F8F9F9,Flickr30k,4664359066.jpg,,,True,False,color_white_brown,['flickr30k_random.jsonl'],white,brown
12,12,1_matrix_white_blue,F8F9F9,Flickr30k,4664359066.jpg,,,True,False,color_white_blue,['flickr30k_random.jsonl'],white,blue
13,13,1_matrix_white_black,F8F9F9,Flickr30k,4664359066.jpg,,,True,False,color_white_black,['flickr30k_random.jsonl'],white,black
14,14,1_matrix_white_green,F8F9F9,Flickr30k,4664359066.jpg,,,True,False,color_white_green,['flickr30k_random.jsonl'],white,green
15,15,1_matrix_white_gray,F8F9F9,Flickr30k,4664359066.jpg,,,True,False,color_white_gray,['flickr30k_random.jsonl'],white,gray
16,16,1_matrix_white_grey,F8F9F9,Flickr30k,4664359066.jpg,,,True,False,color_white_grey,['flickr30k_random.jsonl'],white,grey
17,17,1_matrix_white_red,F8F9F9,Flickr30k,4664359066.jpg,,,True,False,color_white_red,['flickr30k_random.jsonl'],white,red
18,18,1_matrix_white_yellow,F8F9F9,Flickr30k,4664359066.jpg,,,True,False,color_white_yellow,['flickr30k_random.jsonl'],white,yellow
19,19,1_matrix_white_orange,F8F9F9,Flickr30k,4664359066.jpg,,,True,False,color_white_orange,['flickr30k_random.jsonl'],white,orange
20,20,1_matrix_white_pink,F8F9F9,Flickr30k,4664359066.jpg,,,True,False,color_white_pink,['flickr30k_random.jsonl'],white,pink
21,21,1_matrix_white_purple,F8F9F9,Flickr30k,4664359066.jpg,,,True,False,color_white_purple,['flickr30k_random.jsonl'],white,purple
22,22,2_matrix_red_white,FB6872,Flickr30k,6927762908.jpg,,,True,False,color_red_white,['flickr30k_random.jsonl'],red,white
23,23,2_matrix_red_brown,FB6872,Flickr30k,6927762908.jpg,,,True,False,color_red_brown,['flickr30k_random.jsonl'],red,brown
24,24,2_matrix_red_blue,FB6872,Flickr30k,6927762908.jpg,,,True,False,color_red_blue,['flickr30k_random.jsonl'],red,blue
25,25,2_matrix_red_black,FB6872,Flickr30k,6927762908.jpg,,,True,False,color_red_black,['flickr30k_random.jsonl'],red,black
26,26,2_matrix_red_green,FB6872,Flickr30k,6927762908.jpg,,,True,False,color_red_green,['flickr30k_random.jsonl'],red,green
27,27,2_matrix_red_gray,FB6872,Flickr30k,6927762908.jpg,,,True,False,color_red_gray,['flickr30k_random.jsonl'],red,gray
28,28,2_matrix_red_grey,FB6872,Flickr30k,6927762908.jpg,,,True,False,color_red_grey,['flickr30k_random.jsonl'],red,grey
29,29,2_matrix_red_yellow,FB6872,Flickr30k,6927762908.jpg,,,True,False,color_red_yellow,['flickr30k_random.jsonl'],red,yellow
30,30,2_matrix_red_orange,FB6872,Flickr30k,6927762908.jpg,,,True,False,color_red_orange,['flickr30k_random.jsonl'],red,orange
31,31,2_matrix_red_pink,FB6872,Flickr30k,6927762908.jpg,,,True,False,color_red_pink,['flickr30k_random.jsonl'],red,pink
32,32,2_matrix_red_purple,FB6872,Flickr30k,6927762908.jpg,,,True,False,color_red_purple,['flickr30k_random.jsonl'],red,purple
33,33,3_matrix_white_brown,DFEBF4,Flickr30k,4826547083.jpg,,,True,False,color_white_brown,['flickr30k_random.jsonl'],white,brown
34,34,3_matrix_white_blue,DFEBF4,Flickr30k,4826547083.jpg,,,True,False,color_white_blue,['flickr30k_random.jsonl'],white,blue
35,35,3_matrix_white_black,DFEBF4,Flickr30k,4826547083.jpg,,,True,False,color_white_black,['flickr30k_random.jsonl'],white,black
36,36,3_matrix_white_green,DFEBF4,Flickr30k,4826547083.jpg,,,True,False,color_white_green,['flickr30k_random.jsonl'],white,green
37,37,3_matrix_white_gray,DFEBF4,Flickr30k,4826547083.jpg,,,True,False,color_white_gray,['flickr30k_random.jsonl'],white,gray
38,38,3_matrix_white_grey,DFEBF4,Flickr30k,4826547083.jpg,,,True,False,color_white_grey,['flickr30k_random.jsonl'],white,grey
39,39,3_matrix_white_red,DFEBF4,Flickr30k,4826547083.jpg,,,True,False,color_white_red,['flickr30k_random.jsonl'],white,red
40,40,3_matrix_white_yellow,DFEBF4,Flickr30k,4826547083.jpg,,,True,False,color_white_yellow,['flickr30k_random.jsonl'],white,yellow
41,41,3_matrix_white_orange,DFEBF4,Flickr30k,4826547083.jpg,,,True,False,color_white_orange,['flickr30k_random.jsonl'],white,orange
42,42,3_matrix_white_pink,DFEBF4,Flickr30k,4826547083.jpg,,,True,False,color_white_pink,['flickr30k_random.jsonl'],white,pink
43,43,3_matrix_white_purple,DFEBF4,Flickr30k,4826547083.jpg,,,True,False,color_white_purple,['flickr30k_random.jsonl'],white,purple
44,44,3_matrix_gray_white,787875,Flickr30k,4826547083.jpg,,,True,False,color_gray_white,['flickr30k_random.jsonl'],gray,white
45,45,3_matrix_gray_brown,787875,Flickr30k,4826547083.jpg,,,True,False,color_gray_brown,['flickr30k_random.jsonl'],gray,brown
46,46,3_matrix_gray_blue,787875,Flickr30k,4826547083.jpg,,,True,False,color_gray_blue,['flickr30k_random.jsonl'],gray,blue
47,47,3_matrix_gray_black,787875,Flickr30k,4826547083.jpg,,,True,False,color_gray_black,['flickr30k_random.jsonl'],gray,black
48,48,3_matrix_gray_green,787875,Flickr30k,4826547083.jpg,,,True,False,color_gray_green,['flickr30k_random.jsonl'],gray,green
49,49,3_matrix_gray_grey,787875,Flickr30k,4826547083.jpg,,,True,False,color_gray_grey,['flickr30k_random.jsonl'],gray,grey
50,50,3_matrix_gray_red,787875,Flickr30k,4826547083.jpg,,,True,False,color_gray_red,['flickr30k_random.jsonl'],gray,red
51,51,3_matrix_gray_yellow,787875,Flickr30k,4826547083.jpg,,,True,False,color_gray_yellow,['flickr30k_random.jsonl'],gray,yellow
52,52,3_matrix_gray_orange,787875,Flickr30k,4826547083.jpg,,,True,False,color_gray_orange,['flickr30k_random.jsonl'],gray,orange
53,53,3_matrix_gray_pink,787875,Flickr30k,4826547083.jpg,,,True,False,color_gray_pink,['flickr30k_random.jsonl'],gray,pink
54,54,3_matrix_gray_purple,787875,Flickr30k,4826547083.jpg,,,True,False,color_gray_purple,['flickr30k_random.jsonl'],gray,purple
55,55,4_matrix_purple_white,8C66A1,Flickr30k,3564489441.jpg,,,True,False,color_purple_white,['flickr30k_random.jsonl'],purple,white
56,56,4_matrix_purple_brown,8C66A1,Flickr30k,3564489441.jpg,,,True,False,color_purple_brown,['flickr30k_random.jsonl'],purple,brown
57,57,4_matrix_purple_blue,8C66A1,Flickr30k,3564489441.jpg,,,True,False,color_purple_blue,['flickr30k_random.jsonl'],purple,blue
58,58,4_matrix_purple_black,8C66A1,Flickr30k,3564489441.jpg,,,True,False,color_purple_black,['flickr30k_random.jsonl'],purple,black
59,59,4_matrix_purple_green,8C66A1,Flickr30k,3564489441.jpg,,,True,False,color_purple_green,['flickr30k_random.jsonl'],purple,green
60,60,4_matrix_purple_gray,8C66A1,Flickr30k,3564489441.jpg,,,True,False,color_purple_gray,['flickr30k_random.jsonl'],purple,gray
61,61,4_matrix_purple_grey,8C66A1,Flickr30k,3564489441.jpg,,,True,False,color_purple_grey,['flickr30k_random.jsonl'],purple,grey
62,62,4_matrix_purple_red,8C66A1,Flickr30k,3564489441.jpg,,,True,False,color_purple_red,['flickr30k_random.jsonl'],purple,red
63,63,4_matrix_purple_yellow,8C66A1,Flickr30k,3564489441.jpg,,,True,False,color_purple_yellow,['flickr30k_random.jsonl'],purple,yellow
64,64,4_matrix_purple_orange,8C66A1,Flickr30k,3564489441.jpg,,,True,False,color_purple_orange,['flickr30k_random.jsonl'],purple,orange
65,65,4_matrix_purple_pink,8C66A1,Flickr30k,3564489441.jpg,,,True,False,color_purple_pink,['flickr30k_random.jsonl'],purple,pink
66,66,5_matrix_red_white,F95C54,Flickr30k,4373983146.jpg,,,True,False,color_red_white,['flickr30k_random.jsonl'],red,white
67,67,5_matrix_red_brown,F95C54,Flickr30k,4373983146.jpg,,,True,False,color_red_brown,['flickr30k_random.jsonl'],red,brown
68,68,5_matrix_red_blue,F95C54,Flickr30k,4373983146.jpg,,,True,False,color_red_blue,['flickr30k_random.jsonl'],red,blue
69,69,5_matrix_red_black,F95C54,Flickr30k,4373983146.jpg,,,True,False,color_red_black,['flickr30k_random.jsonl'],red,black
70,70,5_matrix_red_green,F95C54,Flickr30k,4373983146.jpg,,,True,False,color_red_green,['flickr30k_random.jsonl'],red,green
71,71,5_matrix_red_gray,F95C54,Flickr30k,4373983146.jpg,,,True,False,color_red_gray,['flickr30k_random.jsonl'],red,gray
72,72,5_matrix_red_grey,F95C54,Flickr30k,4373983146.jpg,,,True,False,color_red_grey,['flickr30k_random.jsonl'],red,grey
73,73,5_matrix_red_yellow,F95C54,Flickr30k,4373983146.jpg,,,True,False,color_red_yellow,['flickr30k_random.jsonl'],red,yellow
74,74,5_matrix_red_orange,F95C54,Flickr30k,4373983146.jpg,,,True,False,color_red_orange,['flickr30k_random.jsonl'],red,orange
75,75,5_matrix_red_pink,F95C54,Flickr30k,4373983146.jpg,,,True,False,color_red_pink,['flickr30k_random.jsonl'],red,pink
76,76,5_matrix_red_purple,F95C54,Flickr30k,4373983146.jpg,,,True,False,color_red_purple,['flickr30k_random.jsonl'],red,purple
77,77,6_matrix_white_brown,FCFCFB,Flickr30k,5995817000.jpg,,,True,False,color_white_brown,['flickr30k_random.jsonl'],white,brown
78,78,6_matrix_white_blue,FCFCFB,Flickr30k,5995817000.jpg,,,True,False,color_white_blue,['flickr30k_random.jsonl'],white,blue
79,79,6_matrix_white_black,FCFCFB,Flickr30k,5995817000.jpg,,,True,False,color_white_black,['flickr30k_random.jsonl'],white,black
80,80,6_matrix_white_green,FCFCFB,Flickr30k,5995817000.jpg,,,True,False,color_white_green,['flickr30k_random.jsonl'],white,green
81,81,6_matrix_white_gray,FCFCFB,Flickr30k,5995817000.jpg,,,True,False,color_white_gray,['flickr30k_random.jsonl'],white,gray
82,82,6_matrix_white_grey,FCFCFB,Flickr30k,5995817000.jpg,,,True,False,color_white_grey,['flickr30k_random.jsonl'],white,grey
83,83,6_matrix_white_red,FCFCFB,Flickr30k,5995817000.jpg,,,True,False,color_white_red,['flickr30k_random.jsonl'],white,red
84,84,6_matrix_white_yellow,FCFCFB,Flickr30k,5995817000.jpg,,,True,False,color_white_yellow,['flickr30k_random.jsonl'],white,yellow
85,85,6_matrix_white_orange,FCFCFB,Flickr30k,5995817000.jpg,,,True,False,color_white_orange,['flickr30k_random.jsonl'],white,orange
86,86,6_matrix_white_pink,FCFCFB,Flickr30k,5995817000.jpg,,,True,False,color_white_pink,['flickr30k_random.jsonl'],white,pink
87,87,6_matrix_white_purple,FCFCFB,Flickr30k,5995817000.jpg,,,True,False,color_white_purple,['flickr30k_random.jsonl'],white,purple
88,88,6_matrix_blue_white,055AC8,Flickr30k,5995817000.jpg,,,True,False,color_blue_white,['flickr30k_random.jsonl'],blue,white
89,89,6_matrix_blue_brown,055AC8,Flickr30k,5995817000.jpg,,,True,False,color_blue_brown,['flickr30k_random.jsonl'],blue,brown
90,90,6_matrix_blue_black,055AC8,Flickr30k,5995817000.jpg,,,True,False,color_blue_black,['flickr30k_random.jsonl'],blue,black
91,91,6_matrix_blue_green,055AC8,Flickr30k,5995817000.jpg,,,True,False,color_blue_green,['flickr30k_random.jsonl'],blue,green
92,92,6_matrix_blue_gray,055AC8,Flickr30k,5995817000.jpg,,,True,False,color_blue_gray,['flickr30k_random.jsonl'],blue,gray
